日期,时间,高,低,价格,开,成交量,成交额,成交笔数
2019/10/31,2019/10/31 10:00,3.58,3.53,3.57,3.58,164879429,588073912,32043
2019/10/31,2019/10/31 10:30,3.57,3.55,3.56,3.57,45638773,162830201,9059
2019/10/31,2019/10/31 11:00,3.56,3.54,3.55,3.56,31036969,110528254,7335
2019/10/31,2019/10/31 11:30,3.57,3.55,3.55,3.56,18886400,67381920,4542
2019/10/31,2019/10/31 13:30,3.56,3.55,3.55,3.56,22950207,81768822,6615
2019/10/31,2019/10/31 14:00,3.56,3.54,3.54,3.56,26271340,93417749,8510
2019/10/31,2019/10/31 14:30,3.57,3.54,3.56,3.54,33737681,120282571,5648
2019/10/31,2019/10/31 15:00,3.56,3.54,3.56,3.55,36880036,131322039,9583
2019/11/01,2019/11/01 10:00,3.55,3.53,3.55,3.55,34064800,120954988,7626
2019/11/01,2019/11/01 10:30,3.57,3.54,3.57,3.55,27317711,97490674,5548
2019/11/01,2019/11/01 11:00,3.58,3.56,3.58,3.56,30806318,110342583,4499
2019/11/01,2019/11/01 11:30,3.59,3.57,3.58,3.58,29163172,104807519,4716
2019/11/01,2019/11/01 13:30,3.59,3.58,3.58,3.58,20668700,74435932,4342
2019/11/01,2019/11/01 14:00,3.59,3.58,3.59,3.58,19564323,70434857,4348
2019/11/01,2019/11/01 14:30,3.59,3.58,3.58,3.58,14054077,50551509,3250
2019/11/01,2019/11/01 15:00,3.58,3.57,3.58,3.58,28153500,101098096,6204
2019/11/04,2019/11/04 10:00,3.59,3.58,3.58,3.58,41721457,150158512,7175
2019/11/04,2019/11/04 10:30,3.62,3.58,3.60,3.58,57358140,207560884,7917
2019/11/04,2019/11/04 11:00,3.61,3.59,3.60,3.60,19300300,69918414,2863
2019/11/04,2019/11/04 11:30,3.61,3.59,3.60,3.60,15453111,55952391,2974
2019/11/04,2019/11/04 13:30,3.61,3.58,3.58,3.61,16531476,59724214,3719
2019/11/04,2019/11/04 14:00,3.60,3.58,3.58,3.58,17547748,63268000,3225
2019/11/04,2019/11/04 14:30,3.59,3.58,3.58,3.58,13136793,47333068,3481
2019/11/04,2019/11/04 15:00,3.59,3.58,3.58,3.58,29289281,105398794,6237
2019/11/05,2019/11/05 10:00,3.59,3.57,3.58,3.58,25783776,92627064,4992
2019/11/05,2019/11/05 10:30,3.58,3.55,3.56,3.58,49540254,177034500,8362
2019/11/05,2019/11/05 11:00,3.58,3.57,3.58,3.57,29544933,106097404,4578
2019/11/05,2019/11/05 11:30,3.58,3.57,3.58,3.58,20280969,72844179,2978
2019/11/05,2019/11/05 13:30,3.60,3.58,3.59,3.58,37300065,134572194,6330
2019/11/05,2019/11/05 14:00,3.60,3.58,3.58,3.59,18811989,67857826,3455
2019/11/05,2019/11/05 14:30,3.60,3.58,3.59,3.58,32606649,117675750,5031
2019/11/05,2019/11/05 15:00,3.59,3.58,3.59,3.58,27554021,99377586,5164
2019/11/06,2019/11/06 10:00,3.61,3.58,3.60,3.60,45721729,165225409,5880
2019/11/06,2019/11/06 10:30,3.60,3.58,3.59,3.60,26321029,95030181,3740
2019/11/06,2019/11/06 11:00,3.59,3.58,3.58,3.59,20212356,72792488,3967
2019/11/06,2019/11/06 11:30,3.61,3.58,3.61,3.58,55686947,201425434,6640
2019/11/06,2019/11/06 13:30,3.61,3.59,3.59,3.61,14850612,53704968,2872
2019/11/06,2019/11/06 14:00,3.60,3.59,3.60,3.60,14242566,51469049,3448
2019/11/06,2019/11/06 14:30,3.60,3.58,3.58,3.59,16561407,59688405,3429
2019/11/06,2019/11/06 15:00,3.59,3.58,3.58,3.58,26401632,94982364,5824
2019/11/07,2019/11/07 10:00,3.61,3.57,3.59,3.58,53381180,192546288,6423
2019/11/07,2019/11/07 10:30,3.62,3.58,3.61,3.59,53036530,192170174,6815
2019/11/07,2019/11/07 11:00,3.66,3.62,3.63,3.62,139565900,510326467,18890
2019/11/07,2019/11/07 11:30,3.63,3.61,3.62,3.62,20303045,73906629,2772
2019/11/07,2019/11/07 13:30,3.65,3.61,3.64,3.62,44325948,161766837,6593
2019/11/07,2019/11/07 14:00,3.66,3.63,3.66,3.64,69527493,254953857,9684
2019/11/07,2019/11/07 14:30,3.66,3.64,3.64,3.65,36833794,135281931,7693
2019/11/07,2019/11/07 15:00,3.66,3.64,3.66,3.65,49401263,181419756,10866
2019/11/08,2019/11/08 10:00,3.69,3.64,3.65,3.68,80338861,295332371,11878
2019/11/08,2019/11/08 10:30,3.65,3.63,3.64,3.65,28581044,104487731,5755
2019/11/08,2019/11/08 11:00,3.64,3.62,3.63,3.63,24707118,90177537,5050
2019/11/08,2019/11/08 11:30,3.64,3.62,3.64,3.62,27760600,101324021,4174
2019/11/08,2019/11/08 13:30,3.65,3.62,3.63,3.64,24156925,88224576,4571
2019/11/08,2019/11/08 14:00,3.63,3.61,3.63,3.63,24552880,89405564,4491
2019/11/08,2019/11/08 14:30,3.63,3.61,3.62,3.63,24123188,87802578,4569
2019/11/08,2019/11/08 15:00,3.63,3.61,3.61,3.63,33550065,122132301,5068
2019/11/11,2019/11/11 10:00,3.59,3.54,3.56,3.59,96172255,343805871,15939
2019/11/11,2019/11/11 10:30,3.58,3.54,3.56,3.56,49980611,178166634,7499
2019/11/11,2019/11/11 11:00,3.58,3.55,3.56,3.56,17877420,63919414,3215
2019/11/11,2019/11/11 11:30,3.57,3.54,3.56,3.56,33738380,120091659,6457
2019/11/11,2019/11/11 13:30,3.57,3.54,3.56,3.56,22181878,79016813,4741
2019/11/11,2019/11/11 14:00,3.56,3.55,3.55,3.56,14324968,51070615,2693
2019/11/11,2019/11/11 14:30,3.56,3.54,3.55,3.56,30721221,109314970,7320
2019/11/11,2019/11/11 15:00,3.56,3.54,3.55,3.55,28538278,101507935,7530
2019/11/12,2019/11/12 10:00,3.62,3.57,3.59,3.57,126796014,458125702,14094
2019/11/12,2019/11/12 10:30,3.59,3.57,3.59,3.58,42603683,153272144,6798
2019/11/12,2019/11/12 11:00,3.59,3.58,3.58,3.58,21578763,77672029,3632
2019/11/12,2019/11/12 11:30,3.60,3.58,3.58,3.58,33112023,119335488,4684
2019/11/12,2019/11/12 13:30,3.62,3.58,3.61,3.58,57539829,208618650,9073
2019/11/12,2019/11/12 14:00,3.63,3.60,3.61,3.61,44428621,161658326,7289
2019/11/12,2019/11/12 14:30,3.64,3.61,3.64,3.61,57664562,210246602,10206
2019/11/12,2019/11/12 15:00,3.64,3.62,3.64,3.63,65014982,237436028,9807
2019/11/13,2019/11/13 10:00,3.64,3.59,3.63,3.63,75420734,274194862,9219
2019/11/13,2019/11/13 10:30,3.64,3.61,3.61,3.63,28129360,102518430,4063
2019/11/13,2019/11/13 11:00,3.62,3.60,3.62,3.62,18902700,68652328,2515
2019/11/13,2019/11/13 11:30,3.62,3.61,3.62,3.61,14603421,53049728,2457
2019/11/13,2019/11/13 13:30,3.62,3.60,3.61,3.62,18474079,66964071,3316
2019/11/13,2019/11/13 14:00,3.62,3.60,3.61,3.61,23923700,86860755,3117
2019/11/13,2019/11/13 14:30,3.62,3.60,3.60,3.62,15660000,56778211,2842
2019/11/13,2019/11/13 15:00,3.63,3.60,3.62,3.61,39478171,143715768,5308
2019/11/14,2019/11/14 10:00,3.74,3.60,3.74,3.61,265108842,984349723,37430
2019/11/14,2019/11/14 10:30,3.75,3.70,3.71,3.73,127767616,478798509,20948
2019/11/14,2019/11/14 11:00,3.75,3.71,3.73,3.72,116991500,438963424,18975
2019/11/14,2019/11/14 11:30,3.75,3.72,3.74,3.73,58325245,219172403,9580
2019/11/14,2019/11/14 13:30,3.74,3.71,3.71,3.73,43457100,162835290,8097
2019/11/14,2019/11/14 14:00,3.74,3.71,3.73,3.72,50037560,187559776,8991
2019/11/14,2019/11/14 14:30,3.77,3.73,3.76,3.73,148281091,559122712,24337
2019/11/14,2019/11/14 15:00,3.76,3.73,3.74,3.76,73745477,277536896,12635
2019/11/15,2019/11/15 10:00,3.78,3.70,3.71,3.73,175360007,658803438,21052
2019/11/15,2019/11/15 10:30,3.74,3.70,3.72,3.71,58715800,219906937,7749
2019/11/15,2019/11/15 11:00,3.75,3.71,3.75,3.71,44491220,167072772,6210
2019/11/15,2019/11/15 11:30,3.75,3.71,3.71,3.75,50128460,187894465,4272
2019/11/15,2019/11/15 13:30,3.73,3.70,3.70,3.71,39064056,145692334,7187
2019/11/15,2019/11/15 14:00,3.71,3.69,3.69,3.70,51460612,191229511,7778
2019/11/15,2019/11/15 14:30,3.71,3.69,3.69,3.69,40626677,150913043,5880
2019/11/15,2019/11/15 15:00,3.70,3.66,3.67,3.70,77276906,285954116,12278
2019/11/18,2019/11/18 10:00,3.76,3.70,3.74,3.71,211316228,793477154,27413
2019/11/18,2019/11/18 10:30,3.74,3.67,3.70,3.74,88123650,328211998,12201
2019/11/18,2019/11/18 11:00,3.73,3.69,3.72,3.70,39301404,146518194,6230
2019/11/18,2019/11/18 11:30,3.72,3.69,3.72,3.72,24398602,90931833,4386
2019/11/18,2019/11/18 13:30,3.72,3.70,3.70,3.72,24211762,90278052,4748
2019/11/18,2019/11/18 14:00,3.71,3.69,3.70,3.71,25538329,94965692,5021
2019/11/18,2019/11/18 14:30,3.71,3.68,3.68,3.70,30325590,112628808,5447
2019/11/18,2019/11/18 15:00,3.70,3.68,3.70,3.68,42804154,158873995,7356
2019/11/19,2019/11/19 10:00,3.68,3.64,3.67,3.68,105814260,389598000,16917
2019/11/19,2019/11/19 10:30,3.67,3.64,3.67,3.66,67523468,248165885,10978
2019/11/19,2019/11/19 11:00,3.68,3.66,3.68,3.67,34120910,126019676,5504
2019/11/19,2019/11/19 11:30,3.69,3.67,3.68,3.68,22648719,83812729,3723
2019/11/19,2019/11/19 13:30,3.68,3.67,3.67,3.67,17012100,62841380,3411
2019/11/19,2019/11/19 14:00,3.69,3.67,3.69,3.68,35315400,130572942,5013
2019/11/19,2019/11/19 14:30,3.70,3.68,3.70,3.69,33410900,123952975,4889
2019/11/19,2019/11/19 15:00,3.72,3.69,3.71,3.70,49201334,183282989,9208
2019/11/20,2019/11/20 10:00,3.70,3.66,3.66,3.69,63599379,234846934,11579
2019/11/20,2019/11/20 10:30,3.68,3.65,3.67,3.67,51695186,190421090,7758
2019/11/20,2019/11/20 11:00,3.67,3.65,3.66,3.66,41012157,150850147,6879
